ID,participantID,answeredOn,trialStart,trialEnd,trialTime,mode,Condition,DataTypeOrder,ChartType,QuestionType,DataType,questionNumber,overallQuestionNumber,ErrorCount,trial,block
2412,55,2021-07-26 20:02,Mon Jul 26 2021 13:02:00 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:02:03 GMT-0700 (Pacific Daylight Time),3685,practice,3,-1,sankey,A,sample,1,7,0,9,1
2413,55,2021-07-26 20:02,Mon Jul 26 2021 13:02:04 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:02:16 GMT-0700 (Pacific Daylight Time),12526,practice,3,-1,sankey,A,sample,2,7,0,10,1
2414,55,2021-07-26 20:02,Mon Jul 26 2021 13:02:16 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:02:28 GMT-0700 (Pacific Daylight Time),11715,practice,3,-1,sankey,A,sample,3,7,1,11,2
2415,55,2021-07-26 20:02,Mon Jul 26 2021 13:02:28 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:02:35 GMT-0700 (Pacific Daylight Time),6820,practice,3,-1,sankey,A,sample,4,7,0,12,2
2416,55,2021-07-26 20:02,Mon Jul 26 2021 13:02:35 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:02:48 GMT-0700 (Pacific Daylight Time),13454,practice,3,-1,sankey,A,sample,5,7,1,13,2
2417,55,2021-07-26 20:03,Mon Jul 26 2021 13:03:01 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:03:05 GMT-0700 (Pacific Daylight Time),3781,practice,3,-1,chord,B,sample,1,7,0,14,2
2418,55,2021-07-26 20:03,Mon Jul 26 2021 13:03:05 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:03:08 GMT-0700 (Pacific Daylight Time),2917,practice,3,-1,chord,B,sample,2,7,0,15,2
2420,55,2021-07-26 20:03,Mon Jul 26 2021 13:03:08 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:03:16 GMT-0700 (Pacific Daylight Time),7912,practice,3,-1,chord,B,sample,3,7,1,16,2
1050,22,2021-07-26 18:03,Mon Jul 26 2021 13:03:12 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:03:31 GMT-0500 (Central Daylight Time),18751,study,2,0,sankey,A,debt,1,7,0,6,1
2424,55,2021-07-26 20:03,Mon Jul 26 2021 13:03:16 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:03:50 GMT-0700 (Pacific Daylight Time),34155,practice,3,-1,chord,B,sample,4,7,2,17,2
1098,22,2021-07-26 18:05,Mon Jul 26 2021 13:03:31 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:05:15 GMT-0500 (Central Daylight Time),103837,study,2,0,sankey,A,debt,2,7,11,7,1
2427,55,2021-07-26 20:04,Mon Jul 26 2021 13:03:50 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:04:08 GMT-0700 (Pacific Daylight Time),18204,practice,3,-1,chord,B,sample,5,7,2,18,2
1071,32,2021-07-26 18:04,Mon Jul 26 2021 13:04:05 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:04:19 GMT-0500 (Central Daylight Time),14021,practice,4,-1,sankey,B,sample,1,7,0,4,1
2429,55,2021-07-26 20:04,Mon Jul 26 2021 13:04:16 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:04:26 GMT-0700 (Pacific Daylight Time),9723,study,3,1,sankey,A,space,1,7,1,1,1
1077,32,2021-07-26 18:04,Mon Jul 26 2021 13:04:19 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:04:27 GMT-0500 (Central Daylight Time),7887,practice,4,-1,sankey,B,sample,2,7,0,5,1
2431,55,2021-07-26 20:04,Mon Jul 26 2021 13:04:26 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:04:52 GMT-0700 (Pacific Daylight Time),26225,study,3,1,sankey,A,space,2,7,2,2,1
1082,32,2021-07-26 18:04,Mon Jul 26 2021 13:04:27 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:04:37 GMT-0500 (Central Daylight Time),9707,practice,4,-1,sankey,B,sample,3,7,0,6,1
